experiment_id,tag,target,model_spec,seed,model,hypothesis,features,calibration,n_train,n_val,n_test,pos_train,pos_val,pos_test,train_weeks,val_weeks,test_weeks,n_features,n_trees,pr_auc,roc_auc,pr_auc_cal,roc_auc_cal,precision,recall,brier,n_unique_pred,status,stage
dev|rt_new_stress|B+P0_m2c_exposure|seed42,dev,rt_new_stress,B+P0_m2c_exposure,42,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)","M2C Model C. Exposure = peer_predicted_stress_mean * borrower_liability_share; both factors already in B, so no new information is expected.",52 features,Platt on validation split only; test labels unused,31200.0,12800.0,12000.0,54.0,25.0,20.0,1-78,87-118,127-156,52.0,182.0,0.4622080583797528,0.8121327212020033,0.4622080583797528,0.8121327212020033,0.3214285714285714,0.45,0.001451073529593,1692.0,ok,research_validation
dev|rt_new_stress|B+P1_liab_channel|seed42,dev,rt_new_stress,B+P1_liab_channel,42,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)",Routing peer stress through the CONTRACTUAL liability weight (the generator transmission channel) rather than a wealth share should add information B lacks.,52 features,Platt on validation split only; test labels unused,31200.0,12800.0,12000.0,54.0,25.0,20.0,1-78,87-118,127-156,52.0,27.0,0.4187801513745734,0.71440734557596,0.4187801513745734,0.71440734557596,0.0857142857142857,0.45,0.0013715891545536,434.0,ok,research_validation
dev|rt_new_stress|B+P2_concentration|seed42,dev,rt_new_stress,B+P2_concentration,42,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)",Mean peer stress cannot distinguish one severe peer from several mild ones; max/count/HHI restore that structure.,54 features,Platt on validation split only; test labels unused,31200.0,12800.0,12000.0,54.0,25.0,20.0,1-78,87-118,127-156,54.0,6.0,0.4227789466837117,0.707155676126878,0.4227789466837117,0.7073434891485809,0.140625,0.45,0.0014293928427903,110.0,ok,research_validation
dev|rt_new_stress|B+P3_persistence|seed42,dev,rt_new_stress,B+P3_persistence,42,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)",A peer stressed for several consecutive weeks drains the group pot cumulatively; decay and velocity capture duration the contemporaneous mean discards.,53 features,Platt on validation split only; test labels unused,31200.0,12800.0,12000.0,54.0,25.0,20.0,1-78,87-118,127-156,53.0,16.0,0.3655628827822555,0.649071368948247,0.3655628827822555,0.6492591819699499,0.0919540229885057,0.4,0.0013920531702067,236.0,ok,research_validation
dev|rt_new_stress|B+P4_dest_fragility|seed42,dev,rt_new_stress,B+P4_dest_fragility,42,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)",Absolute buffer adequacy (buffer / obligation) measures capacity to absorb a liability call; B only has a RELATIVE wealth share.,53 features,Platt on validation split only; test labels unused,31200.0,12800.0,12000.0,54.0,25.0,20.0,1-78,87-118,127-156,53.0,27.0,0.4339474646658679,0.6968697829716194,0.4339474646658679,0.6968697829716194,0.0841121495327102,0.45,0.0014371552496666,401.0,ok,research_validation
dev|rt_new_stress|B+P5_process|seed42,dev,rt_new_stress,B+P5_process,42,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)","Propagation as a process: source stress x contractual channel x persistence x destination vulnerability, in one interpretable scalar.",52 features,Platt on validation split only; test labels unused,31200.0,12800.0,12000.0,54.0,25.0,20.0,1-78,87-118,127-156,52.0,15.0,0.4197838120228679,0.7018405676126878,0.4197838120228679,0.7020283806343905,0.1343283582089552,0.45,0.0013845673894901,229.0,ok,research_validation
dev|rt_new_stress|B+P6_full|seed42,dev,rt_new_stress,B+P6_full,42,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)",All research propagation features together; upper bound on what this family can contribute.,61 features,Platt on validation split only; test labels unused,31200.0,12800.0,12000.0,54.0,25.0,20.0,1-78,87-118,127-156,61.0,144.0,0.4521777685660325,0.7412646076794658,0.4521777685660325,0.7412646076794658,0.5625,0.45,0.001510936501487,1709.0,ok,research_validation
dev|propagation_vulnerability|A|seed101,dev,propagation_vulnerability,A,101,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)",Individual financial features only; no peer/network context. Lower bound.,43 features,Platt on validation split only; test labels unused,31200.0,12800.0,12000.0,13.0,7.0,4.0,1-78,87-118,127-156,43.0,1.0,0.0003333333333333,0.4991663887962654,0.0003333333333333,0.4991663887962654,0.0,0.0,0.0003332500701857,4.0,ok,research_validation
dev|propagation_vulnerability|B|seed101,dev,propagation_vulnerability,B,101,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)","Individual + network context (M2C Model B, 51 features). The baseline to beat.",51 features,Platt on validation split only; test labels unused,31200.0,12800.0,12000.0,13.0,7.0,4.0,1-78,87-118,127-156,51.0,1.0,0.0003333333333333,0.4991663887962654,0.0003333333333333,0.4991663887962654,0.0,0.0,0.0003332500701857,4.0,ok,research_validation
dev|propagation_vulnerability|B+P0_m2c_exposure|seed101,dev,propagation_vulnerability,B+P0_m2c_exposure,101,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)","M2C Model C. Exposure = peer_predicted_stress_mean * borrower_liability_share; both factors already in B, so no new information is expected.",52 features,Platt on validation split only; test labels unused,31200.0,12800.0,12000.0,13.0,7.0,4.0,1-78,87-118,127-156,52.0,22.0,0.2352941176470588,0.9994581527175724,0.2352941176470588,0.9994581527175724,0.0191387559808612,1.0,0.0003252070934565,444.0,ok,research_validation
dev|propagation_vulnerability|B+P1_liab_channel|seed101,dev,propagation_vulnerability,B+P1_liab_channel,101,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)",Routing peer stress through the CONTRACTUAL liability weight (the generator transmission channel) rather than a wealth share should add information B lacks.,52 features,Platt on validation split only; test labels unused,31200.0,12800.0,12000.0,13.0,7.0,4.0,1-78,87-118,127-156,52.0,1.0,0.0003333333333333,0.4991663887962654,0.0003333333333333,0.4991663887962654,0.0,0.0,0.0003332500701857,4.0,ok,research_validation
dev|propagation_vulnerability|B+P2_concentration|seed101,dev,propagation_vulnerability,B+P2_concentration,101,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)",Mean peer stress cannot distinguish one severe peer from several mild ones; max/count/HHI restore that structure.,54 features,Platt on validation split only; test labels unused,31200.0,12800.0,12000.0,13.0,7.0,4.0,1-78,87-118,127-156,54.0,1.0,0.0003333333333333,0.4991663887962654,0.0003333333333333,0.4991663887962654,0.0,0.0,0.0003332500701857,4.0,ok,research_validation
dev|propagation_vulnerability|B+P3_persistence|seed101,dev,propagation_vulnerability,B+P3_persistence,101,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)",A peer stressed for several consecutive weeks drains the group pot cumulatively; decay and velocity capture duration the contemporaneous mean discards.,53 features,Platt on validation split only; test labels unused,31200.0,12800.0,12000.0,13.0,7.0,4.0,1-78,87-118,127-156,53.0,7.0,0.0084815958036548,0.7375583527842614,0.0084815958036548,0.737600033344448,0.0055555555555555,0.25,0.0003332745417769,89.0,ok,research_validation
dev|propagation_vulnerability|B+P4_dest_fragility|seed101,dev,propagation_vulnerability,B+P4_dest_fragility,101,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)",Absolute buffer adequacy (buffer / obligation) measures capacity to absorb a liability call; B only has a RELATIVE wealth share.,53 features,Platt on validation split only; test labels unused,31200.0,12800.0,12000.0,13.0,7.0,4.0,1-78,87-118,127-156,53.0,1.0,0.0003333333333333,0.4991663887962654,0.0003333333333333,0.4991663887962654,0.0,0.0,0.0003332500701857,4.0,ok,research_validation
dev|propagation_vulnerability|B+P5_process|seed101,dev,propagation_vulnerability,B+P5_process,101,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)","Propagation as a process: source stress x contractual channel x persistence x destination vulnerability, in one interpretable scalar.",52 features,Platt on validation split only; test labels unused,31200.0,12800.0,12000.0,13.0,7.0,4.0,1-78,87-118,127-156,52.0,1.0,0.0003333333333333,0.4991663887962654,0.0003333333333333,0.4991663887962654,0.0,0.0,0.0003332500701857,4.0,ok,research_validation
dev|propagation_vulnerability|B+P6_full|seed101,dev,propagation_vulnerability,B+P6_full,101,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)",All research propagation features together; upper bound on what this family can contribute.,61 features,Platt on validation split only; test labels unused,31200.0,12800.0,12000.0,13.0,7.0,4.0,1-78,87-118,127-156,61.0,1.0,0.0003333333333333,0.4985828609536512,0.0003333333333333,0.4985828609536512,0.0,0.0,0.000333250778104,5.0,ok,research_validation
dev|rt_new_stress|A|seed101,dev,rt_new_stress,A,101,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)",Individual financial features only; no peer/network context. Lower bound.,43 features,Platt on validation split only; test labels unused,31200.0,12800.0,12000.0,52.0,22.0,28.0,1-78,87-118,127-156,43.0,11.0,0.0700865818560065,0.7888898501264856,0.0700865193090963,0.7888764259462555,0.144578313253012,0.4285714285714285,0.0024986693635098,86.0,ok,research_validation
dev|rt_new_stress|B|seed101,dev,rt_new_stress,B,101,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)","Individual + network context (M2C Model B, 51 features). The baseline to beat.",51 features,Platt on validation split only; test labels unused,31200.0,12800.0,12000.0,52.0,22.0,28.0,1-78,87-118,127-156,51.0,30.0,0.154399456854929,0.6778942532576011,0.154399456854929,0.677894253257601,0.0927835051546391,0.3214285714285714,0.0021721413720383,203.0,ok,research_validation
dev|rt_new_stress|B+P0_m2c_exposure|seed101,dev,rt_new_stress,B+P0_m2c_exposure,101,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)","M2C Model C. Exposure = peer_predicted_stress_mean * borrower_liability_share; both factors already in B, so no new information is expected.",52 features,Platt on validation split only; test labels unused,31200.0,12800.0,12000.0,52.0,22.0,28.0,1-78,87-118,127-156,52.0,27.0,0.1546691528751168,0.6571703021335498,0.1546691528751168,0.6571703021335498,0.0927835051546391,0.3214285714285714,0.0021665200409077,214.0,ok,research_validation
dev|rt_new_stress|B+P1_liab_channel|seed101,dev,rt_new_stress,B+P1_liab_channel,101,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)",Routing peer stress through the CONTRACTUAL liability weight (the generator transmission channel) rather than a wealth share should add information B lacks.,52 features,Platt on validation split only; test labels unused,31200.0,12800.0,12000.0,52.0,22.0,28.0,1-78,87-118,127-156,52.0,35.0,0.1552334094542438,0.6979290964631761,0.1552334094542438,0.6979290964631759,0.0927835051546391,0.3214285714285714,0.0021697900649678,325.0,ok,research_validation
dev|rt_new_stress|B+P2_concentration|seed101,dev,rt_new_stress,B+P2_concentration,101,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)",Mean peer stress cannot distinguish one severe peer from several mild ones; max/count/HHI restore that structure.,54 features,Platt on validation split only; test labels unused,31200.0,12800.0,12000.0,52.0,22.0,28.0,1-78,87-118,127-156,54.0,21.0,0.1545929705958017,0.678804114362083,0.1545929705958017,0.6788041143620829,0.0708661417322834,0.3214285714285714,0.0021599847615299,188.0,ok,research_validation
dev|rt_new_stress|B+P3_persistence|seed101,dev,rt_new_stress,B+P3_persistence,101,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)",A peer stressed for several consecutive weeks drains the group pot cumulatively; decay and velocity capture duration the contemporaneous mean discards.,53 features,Platt on validation split only; test labels unused,31200.0,12800.0,12000.0,52.0,22.0,28.0,1-78,87-118,127-156,53.0,70.0,0.1089727345305176,0.8688039950360366,0.1089727345305176,0.8688039950360366,0.2571428571428571,0.3214285714285714,0.0021768565229142,826.0,ok,research_validation
dev|rt_new_stress|B+P4_dest_fragility|seed101,dev,rt_new_stress,B+P4_dest_fragility,101,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)",Absolute buffer adequacy (buffer / obligation) measures capacity to absorb a liability call; B only has a RELATIVE wealth share.,53 features,Platt on validation split only; test labels unused,31200.0,12800.0,12000.0,52.0,22.0,28.0,1-78,87-118,127-156,53.0,35.0,0.1343430622006459,0.729052312538781,0.1343430622006459,0.729052312538781,0.2093023255813953,0.3214285714285714,0.0021568385839496,262.0,ok,research_validation
dev|rt_new_stress|B+P5_process|seed101,dev,rt_new_stress,B+P5_process,101,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)","Propagation as a process: source stress x contractual channel x persistence x destination vulnerability, in one interpretable scalar.",52 features,Platt on validation split only; test labels unused,31200.0,12800.0,12000.0,52.0,22.0,28.0,1-78,87-118,127-156,52.0,43.0,0.1661902362817286,0.751542289150876,0.1661902362817286,0.751542289150876,0.0491803278688524,0.3214285714285714,0.0021809234894854,363.0,ok,research_validation
dev|rt_new_stress|B+P6_full|seed101,dev,rt_new_stress,B+P6_full,101,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)",All research propagation features together; upper bound on what this family can contribute.,61 features,Platt on validation split only; test labels unused,31200.0,12800.0,12000.0,52.0,22.0,28.0,1-78,87-118,127-156,61.0,62.0,0.2580215542880502,0.7844628538017278,0.2580215542880502,0.7844628538017278,0.4285714285714285,0.3214285714285714,0.002135042374529,818.0,ok,research_validation
dev|propagation_vulnerability|A|seed202,dev,propagation_vulnerability,A,202,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)",Individual financial features only; no peer/network context. Lower bound.,43 features,Platt on validation split only; test labels unused,,,,,,,,,,,,,,,,,,,,unscoreable_no_test_positives,research_validation
dev|propagation_vulnerability|B|seed202,dev,propagation_vulnerability,B,202,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)","Individual + network context (M2C Model B, 51 features). The baseline to beat.",51 features,Platt on validation split only; test labels unused,,,,,,,,,,,,,,,,,,,,unscoreable_no_test_positives,research_validation
dev|propagation_vulnerability|B+P0_m2c_exposure|seed202,dev,propagation_vulnerability,B+P0_m2c_exposure,202,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)","M2C Model C. Exposure = peer_predicted_stress_mean * borrower_liability_share; both factors already in B, so no new information is expected.",52 features,Platt on validation split only; test labels unused,,,,,,,,,,,,,,,,,,,,unscoreable_no_test_positives,research_validation
dev|propagation_vulnerability|B+P1_liab_channel|seed202,dev,propagation_vulnerability,B+P1_liab_channel,202,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)",Routing peer stress through the CONTRACTUAL liability weight (the generator transmission channel) rather than a wealth share should add information B lacks.,52 features,Platt on validation split only; test labels unused,,,,,,,,,,,,,,,,,,,,unscoreable_no_test_positives,research_validation
dev|propagation_vulnerability|B+P2_concentration|seed202,dev,propagation_vulnerability,B+P2_concentration,202,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)",Mean peer stress cannot distinguish one severe peer from several mild ones; max/count/HHI restore that structure.,54 features,Platt on validation split only; test labels unused,,,,,,,,,,,,,,,,,,,,unscoreable_no_test_positives,research_validation
dev|propagation_vulnerability|B+P3_persistence|seed202,dev,propagation_vulnerability,B+P3_persistence,202,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)",A peer stressed for several consecutive weeks drains the group pot cumulatively; decay and velocity capture duration the contemporaneous mean discards.,53 features,Platt on validation split only; test labels unused,,,,,,,,,,,,,,,,,,,,unscoreable_no_test_positives,research_validation
dev|propagation_vulnerability|B+P4_dest_fragility|seed202,dev,propagation_vulnerability,B+P4_dest_fragility,202,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)",Absolute buffer adequacy (buffer / obligation) measures capacity to absorb a liability call; B only has a RELATIVE wealth share.,53 features,Platt on validation split only; test labels unused,,,,,,,,,,,,,,,,,,,,unscoreable_no_test_positives,research_validation
dev|propagation_vulnerability|B+P5_process|seed202,dev,propagation_vulnerability,B+P5_process,202,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)","Propagation as a process: source stress x contractual channel x persistence x destination vulnerability, in one interpretable scalar.",52 features,Platt on validation split only; test labels unused,,,,,,,,,,,,,,,,,,,,unscoreable_no_test_positives,research_validation
dev|propagation_vulnerability|B+P6_full|seed202,dev,propagation_vulnerability,B+P6_full,202,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)",All research propagation features together; upper bound on what this family can contribute.,61 features,Platt on validation split only; test labels unused,,,,,,,,,,,,,,,,,,,,unscoreable_no_test_positives,research_validation
dev|rt_new_stress|A|seed202,dev,rt_new_stress,A,202,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)",Individual financial features only; no peer/network context. Lower bound.,43 features,Platt on validation split only; test labels unused,31200.0,12800.0,12000.0,64.0,13.0,20.0,1-78,87-118,127-156,43.0,1.0,0.1433246095228902,0.7037437395659432,0.1433246095228902,0.7037437395659432,0.2972972972972973,0.55,0.0016504718118346,9.0,ok,research_validation
dev|rt_new_stress|B|seed202,dev,rt_new_stress,B,202,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)","Individual + network context (M2C Model B, 51 features). The baseline to beat.",51 features,Platt on validation split only; test labels unused,31200.0,12800.0,12000.0,64.0,13.0,20.0,1-78,87-118,127-156,51.0,10.0,0.2459277214971124,0.8528025876460766,0.2459277214971124,0.8528025876460766,0.4074074074074074,0.55,0.0016258631856526,107.0,ok,research_validation
dev|rt_new_stress|B+P0_m2c_exposure|seed202,dev,rt_new_stress,B+P0_m2c_exposure,202,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)","M2C Model C. Exposure = peer_predicted_stress_mean * borrower_liability_share; both factors already in B, so no new information is expected.",52 features,Platt on validation split only; test labels unused,31200.0,12800.0,12000.0,64.0,13.0,20.0,1-78,87-118,127-156,52.0,35.0,0.1788013454557841,0.8526836393989983,0.1788013454557841,0.8526836393989983,0.089430894308943,0.55,0.0016111457976622,307.0,ok,research_validation
dev|rt_new_stress|B+P1_liab_channel|seed202,dev,rt_new_stress,B+P1_liab_channel,202,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)",Routing peer stress through the CONTRACTUAL liability weight (the generator transmission channel) rather than a wealth share should add information B lacks.,52 features,Platt on validation split only; test labels unused,31200.0,12800.0,12000.0,64.0,13.0,20.0,1-78,87-118,127-156,52.0,13.0,0.2567385465755288,0.8504152754590985,0.2567385465755288,0.8504152754590985,0.1122448979591836,0.55,0.0016174331428251,144.0,ok,research_validation
dev|rt_new_stress|B+P2_concentration|seed202,dev,rt_new_stress,B+P2_concentration,202,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)",Mean peer stress cannot distinguish one severe peer from several mild ones; max/count/HHI restore that structure.,54 features,Platt on validation split only; test labels unused,31200.0,12800.0,12000.0,64.0,13.0,20.0,1-78,87-118,127-156,54.0,3.0,0.2177118171843577,0.7985434056761269,0.2177118171843577,0.7985434056761269,0.34375,0.55,0.0016456288902733,33.0,ok,research_validation
dev|rt_new_stress|B+P3_persistence|seed202,dev,rt_new_stress,B+P3_persistence,202,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)",A peer stressed for several consecutive weeks drains the group pot cumulatively; decay and velocity capture duration the contemporaneous mean discards.,53 features,Platt on validation split only; test labels unused,31200.0,12800.0,12000.0,64.0,13.0,20.0,1-78,87-118,127-156,53.0,10.0,0.0900310818568351,0.7702378964941569,0.0900310818568351,0.7702378964941569,0.1363636363636363,0.15,0.001635008538346,62.0,ok,research_validation
dev|rt_new_stress|B+P4_dest_fragility|seed202,dev,rt_new_stress,B+P4_dest_fragility,202,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)",Absolute buffer adequacy (buffer / obligation) measures capacity to absorb a liability call; B only has a RELATIVE wealth share.,53 features,Platt on validation split only; test labels unused,31200.0,12800.0,12000.0,64.0,13.0,20.0,1-78,87-118,127-156,53.0,10.0,0.2461313746518561,0.8539294657762938,0.2461313746518561,0.8539294657762938,0.4074074074074074,0.55,0.001625862294501,107.0,ok,research_validation
dev|rt_new_stress|B+P5_process|seed202,dev,rt_new_stress,B+P5_process,202,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)","Propagation as a process: source stress x contractual channel x persistence x destination vulnerability, in one interpretable scalar.",52 features,Platt on validation split only; test labels unused,31200.0,12800.0,12000.0,64.0,13.0,20.0,1-78,87-118,127-156,52.0,17.0,0.3192739032688513,0.8442842237061768,0.3192739032688513,0.8442842237061768,0.4230769230769231,0.55,0.0016142783814683,159.0,ok,research_validation
dev|rt_new_stress|B+P6_full|seed202,dev,rt_new_stress,B+P6_full,202,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)",All research propagation features together; upper bound on what this family can contribute.,61 features,Platt on validation split only; test labels unused,31200.0,12800.0,12000.0,64.0,13.0,20.0,1-78,87-118,127-156,61.0,8.0,0.0788638035831361,0.7822203672787981,0.0788638035831361,0.7822203672787981,0.1578947368421052,0.15,0.0016369176421388,50.0,ok,research_validation
dev|propagation_vulnerability|A|seed303,dev,propagation_vulnerability,A,303,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)",Individual financial features only; no peer/network context. Lower bound.,43 features,Platt on validation split only; test labels unused,,,,,,,,,,,,,,,,,,,,unscoreable_no_test_positives,research_validation
dev|propagation_vulnerability|B|seed303,dev,propagation_vulnerability,B,303,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)","Individual + network context (M2C Model B, 51 features). The baseline to beat.",51 features,Platt on validation split only; test labels unused,,,,,,,,,,,,,,,,,,,,unscoreable_no_test_positives,research_validation
dev|propagation_vulnerability|B+P0_m2c_exposure|seed303,dev,propagation_vulnerability,B+P0_m2c_exposure,303,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)","M2C Model C. Exposure = peer_predicted_stress_mean * borrower_liability_share; both factors already in B, so no new information is expected.",52 features,Platt on validation split only; test labels unused,,,,,,,,,,,,,,,,,,,,unscoreable_no_test_positives,research_validation
dev|propagation_vulnerability|B+P1_liab_channel|seed303,dev,propagation_vulnerability,B+P1_liab_channel,303,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)",Routing peer stress through the CONTRACTUAL liability weight (the generator transmission channel) rather than a wealth share should add information B lacks.,52 features,Platt on validation split only; test labels unused,,,,,,,,,,,,,,,,,,,,unscoreable_no_test_positives,research_validation
dev|propagation_vulnerability|B+P2_concentration|seed303,dev,propagation_vulnerability,B+P2_concentration,303,"LightGBM(binary,lr0.05,leaves31,depth5,seed42)",Mean peer stress cannot distinguish one severe peer from several mild ones; max/count/HHI restore that structure.,54 features,Platt on validation split only; test labels unused,,,,,,,,,,,,,,,,,,,,unscoreable_no_test_positives,research_validation
